City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,dudinka,80,RU,1526364852,100,69.41,86.18,20.11,12.68
88,ratholo,92,BW,1526365238,97,-22.72,27.57,58.72,8.21
89,diego de almagro,0,CL,1526365239,83,-26.39,-70.05,48.19,1.95
90,yellowknife,90,CA,1526362140,92,62.45,-114.38,28.4,10.29
91,kavaratti,0,IN,1526365239,100,10.57,72.64,85.81,4.97
92,grindavik,75,IS,1526364060,80,63.84,-22.43,37.4,8.05
93,hermanus,8,ZA,1526364806,88,-34.42,19.24,39.64,3.4
94,savannah bight,36,HN,1526365242,94,16.45,-85.85,84.1,16.04
95,saint george,20,GR,1526361600,64,39.45,22.34,69.8,3.36
96,tuatapere,8,NZ,1526365043,100,-46.13,167.69,46.93,2.84
97,noyabrsk,88,RU,1526364985,88,63.2,75.45,31.0,16.26
98,tuktoyaktuk,40,CA,1526360400,78,69.44,-133.03,17.6,13.87
99,trincomalee,80,LK,1526365244,84,8.58,81.23,87.61,4.18
100,staicele,0,LV,1526363400,59,57.83,24.75,66.2,4.7
101,avon park,90,US,1526363580,94,27.6,-81.51,71.6,8.05
102,upernavik,68,GL,1526364797,84,72.79,-56.15,29.11,8.43
103,griffith,56,AU,1526365267,72,-34.29,146.06,57.64,9.55
104,wanning,75,AT,1526363400,76,48.64,13.53,53.6,13.87
105,katete,92,UG,1526365268,97,-0.78,29.75,63.31,4.29
106,east london,0,ZA,1526360400,87,-33.02,27.91,55.4,9.17
107,fukue,20,JP,1526362200,65,35.03,136.69,77.0,9.17
108,sassandra,76,CI,1526365269,100,4.95,-6.09,78.34,7.65
109,constitucion,32,MX,1526365010,38,23.99,-104.67,68.62,6.08
110,tiksi,92,RU,1526364818,91,71.64,128.87,22.18,9.66
111,guerrero negro,0,MX,1526365271,100,27.97,-114.04,56.47,11.12
112,dickinson,1,US,1526360160,53,46.88,-102.79,51.8,6.93
113,nyuksenitsa,20,RU,1526365272,28,60.41,44.24,76.36,9.1
114,kibala,0,TD,1526360400,88,9.11,18.35,73.4,8.43
115,fortuna,20,ES,1526362200,87,38.18,-1.13,59.0,5.82
116,luau,48,CD,1526364878,66,-10.7,22.23,70.51,2.17
117,turukhansk,44,RU,1526365274,100,65.8,87.96,22.81,4.97
118,ribeira grande,36,PT,1526364874,100,38.52,-28.7,62.23,4.52
119,narsaq,68,GL,1526363400,50,60.91,-46.05,30.2,5.97
120,zeya,0,RU,1526365275,34,53.74,127.27,58.54,5.08
121,haines junction,8,CA,1526365275,59,60.75,-137.51,32.98,5.19
122,hasaki,20,JP,1526362200,44,35.73,140.83,80.6,11.41
123,barrow,0,AR,1526364820,58,-38.31,-60.23,45.58,12.68
124,thompson,20,CA,1526360400,49,55.74,-97.86,24.8,3.36
125,sibolga,76,ID,1526365134,90,1.74,98.78,76.81,2.28
126,esperance,40,TT,1526360400,88,10.24,-61.45,77.0,5.82
